year_date,Time,Second number,Second,Date,Gravity.x,Gravity.y,Gravity.z,Acceleration.x,Acceleration.y,Acceleration.z,RotationRate.x,RotationRate.y,RotationRate.z,Attitude.roll,Attitude.pitch,Attitude.yaw
2020/9/17,33:02.9,1.60031E+12,2309.972,2020-09-17 11:33:02.932315+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309982932,-0.424982935,0.874159396,0.235021606,0.001617253,0.003440142,0.004603863,0.003434559,-0.000739376,-0.009571251,-2.075950762,-1.063702126,-2.981307889
2020/9/17,33:03.9,1.60031E+12,2310.966,2020-09-17 11:33:03.926255+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309983926,-0.422131538,0.874970853,0.237131551,0.001436114,0.00015676,0.002890825,-0.008732093,0.007279069,0.012399762,-2.082614351,-1.065375602,-2.986720705
2020/9/17,33:04.9,1.60031E+12,2311.96,2020-09-17 11:33:04.920105+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309984920,-0.415420562,0.876647055,0.242727011,-0.001613051,-0.009468913,0.000561237,-0.010775535,0.000279482,0.009928616,-2.099585937,-1.068848522,-3.005607241
2020/9/17,33:05.9,1.60031E+12,2312.954,2020-09-17 11:33:05.914173+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309985914,-0.417183906,0.877928555,0.234945357,-0.002169132,0.004768014,0.006649494,-0.002708288,-0.006737547,-0.037114397,-2.083694422,-1.071518485,-2.991682486
2020/9/17,33:06.9,1.60031E+12,2313.948,2020-09-17 11:33:06.908081+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309986908,-0.419482499,0.876851797,0.234873712,0.003425807,-0.001159847,-0.006997585,-0.004133346,-0.001261955,0.011104934,-2.081218444,-1.069274207,-2.985958287
2020/9/17,33:07.9,1.60031E+12,2314.942,2020-09-17 11:33:07.901931+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309987902,-0.412571251,0.878541529,0.240728378,-0.009817719,-0.028057516,0.004618406,-0.015579612,0.028852338,0.023864739,-2.098982554,-1.072800289,-3.011270329
2020/9/17,33:08.9,1.60031E+12,2315.936,2020-09-17 11:33:08.896110+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309988896,-0.413341135,0.878962636,0.237853691,0.003786147,0.009345174,0.001294255,0.004901428,-0.008855626,-0.021664666,-2.092962417,-1.073682596,-3.001494949
2020/9/17,33:09.9,1.60031E+12,2316.93,2020-09-17 11:33:09.889971+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309989890,-0.418533891,0.875860333,0.240205646,8.30E-05,-0.004550695,0.009379268,0.007359526,0.005417786,-0.002234308,-2.091819799,-1.067215738,-2.997911166
2020/9/17,33:10.9,1.60031E+12,2317.924,2020-09-17 11:33:10.883916+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309990884,-0.412129104,0.876630425,0.248333126,-0.002461255,-0.002589762,-0.001693606,-0.018285915,-0.004003213,0.006131413,-2.113097156,-1.068813956,-3.022191376
2020/9/17,33:11.9,1.60031E+12,2318.918,2020-09-17 11:33:11.877908+0900 SwingWatch WatchKit Extension[626:1335376] Motion: 1600309991878,-0.412664086,0.876423836,0.248172998,0.00112623,-0.00291872,0.0005548,-0.007203705,0.006729459,0.003324042,-2.112238937,-1.068384706,-3.019380149
